Store,Location_Store,Customer_Geo,Customer_Age,Cust_City,Cust_Dist,Cust_State,Customer_Income,Customer_Gender,Customer_Marital_Status,Transaction_Date,Volume,Price,Product_Model,Product_Category,Product_Brand,Product_company,Cust_Ethnic,Occupation,Loan_Amount,Default_Risk,Outstanding,First_replayment_date,Last_repayment_date
AutoZone,Delhi,West Bengal India,41,Pune,Hyderabad,Tamil Nadu,925951,Male,Married,23 February 2023,3,1741674,Asta,Entry Hatchback,City,Honda,Asian,Salaried,1505678,1,724067,07 May 2023,19 September 2024
SpeedWheels,Delhi,Tamil Nadu India,45,Chennai,New Delhi,Tamil Nadu,2194168,Male,Married,02 October 2023,2,511972,VX,Premium Hatchback,Verna,Honda,Caucasian,Salaried,442116,0,69657,16 December 2023,11 May 2025
AutoZone,Bangalore,Tamil Nadu India,33,Kolkata,Kolkata,West Bengal,763836,Female,Married,31 March 2023,1,2180439,Asta,Sedan,Swift,Hyundai,Asian,Business Owner,1534811,1,472812,06 May 2023,19 February 2026
AutoHub,Delhi,Tamil Nadu India,40,Pune,New Delhi,Delhi,984875,Male,Married,22 February 2024,1,1452078,ZX,SUV,Nexon,Hyundai,Asian,Business Owner,1056253,1,642932,10 May 2024,29 July 2026
DriveEasy,Bangalore,Tamil Nadu India,59,Bangalore,Mumbai Suburban,Telangana,2104819,Male,Divorced,30 September 2023,1,946678,LX,SUV,Verna,Tata,Native American,Self Employed,723857,0,109368,28 December 2023,15 February 2025
AutoHub,Mumbai,Maharashtra India,54,Delhi,Pune,Telangana,2083806,Male,Married,21 April 2023,2,861494,Magna,SUV,Creta,Honda,Asian,Retired,688817,0,113263,21 June 2023,03 May 2026
AutoZone,Chennai,Karnataka India,59,Chennai,Mumbai Suburban,Delhi,1652007,Male,Unmarried,09 February 2023,2,1265933,LX,Compact SUV,Creta,Maruti,Asian,Professional,926310,0,213164,09 May 2023,12 May 2025
TCS Auto,Bangalore,West Bengal India,28,Pune,Kolkata,Delhi,2326645,Male,Married,24 January 2024,3,788166,Era,Premium Hatchback,Creta,Hyundai,Native American,Retired,639686,0,78114,27 March 2024,03 May 2026
CarWorld,Hyderabad,Tamil Nadu India,39,Nashik,Kolkata,Karnataka,353924,Female,Married,03 July 2024,3,2138962,Magna,Sedan,Swift,Maruti,Asian,Salaried,1618242,0,185787,19 September 2024,16 August 2027
AutoHub,Hyderabad,West Bengal India,25,Nashik,Kolkata,Karnataka,1814042,Male,Unmarried,29 July 2024,1,571158,Asta,SUV,Verna,Hyundai,Native American,Self Employed,371809,1,236778,11 September 2024,28 January 2027
CarWorld,Pune,Maharashtra India,59,Nashik,Pune,Tamil Nadu,1089778,Male,Married,07 December 2023,1,1473050,LX,Compact SUV,Swift,Honda,Caucasian,Professional,1256358,1,588392,02 March 2024,21 December 2026
TCS Auto,Hyderabad,Karnataka India,44,Mumbai,Pune,Delhi,1182500,Male,Unmarried,15 December 2023,2,1340749,LX,Entry Hatchback,Nexon,Honda,Hispanic,Business Owner,967390,0,54079,23 February 2024,26 September 2025
AutoZone,Chennai,Karnataka India,51,Pune,Pune,Tamil Nadu,2029177,Male,Married,23 February 2023,1,2408635,VX,Premium Hatchback,City,Hyundai,Asian,Retired,1518002,0,167750,14 May 2023,13 December 2024
TCS Auto,Pune,Karnataka India,42,Hyderabad,Bangalore Urban,West Bengal,949827,Male,Married,13 June 2023,3,1955714,LX,Entry Hatchback,I10 GRAND,Maruti,Asian,Government Employee,1308543,1,783050,15 August 2023,16 July 2025
SCP,Hyderabad,West Bengal India,59,Mumbai,Kolkata,Maharashtra,901400,Female,Married,19 May 2023,1,1351252,VX,Premium Hatchback,Brezza,Maruti,Caucasian,Professional,999301,0,240283,19 July 2023,12 August 2024
TCS Auto,Delhi,Maharashtra India,56,Chennai,Pune,Telangana,380392,Female,Unmarried,12 December 2023,3,1486150,Magna,Compact SUV,I10 GRAND,Hyundai,Caucasian,Professional,1134499,1,705793,01 February 2024,02 September 2025
AutoZone,Mumbai,West Bengal India,40,Nashik,Bangalore Urban,Maharashtra,536064,Male,Unmarried,28 July 2024,2,1952827,VX,Luxury Sedan,I10 GRAND,Honda,Asian,Professional,1700075,1,1069816,16 September 2024,14 July 2027
TCS Auto,Hyderabad,Maharashtra India,64,Mumbai,Pune,Karnataka,2286718,Male,Unmarried,08 December 2023,2,1235995,SX,Luxury Sedan,City,Hyundai,Asian,Salaried,864824,0,80793,07 March 2024,26 October 2025
SCP,Kolkata,Delhi India,58,Mumbai,Chennai,West Bengal,1886625,Female,Married,19 December 2024,2,2355811,Era,SUV,Nexon,Hyundai,Asian,Retired,2033827,0,430130,25 February 2025,19 August 2026
AutoZone,Delhi,Delhi India,35,Nagpur,New Delhi,Karnataka,402862,Male,Unmarried,09 September 2023,1,2124791,SX,Entry Hatchback,Verna,Honda,African,Self Employed,1361811,1,709604,18 November 2023,08 August 2026
SCP,Mumbai,Maharashtra India,21,Chennai,Chennai,West Bengal,932399,Male,Married,17 June 2023,2,1260396,Era,Compact SUV,Swift,Hyundai,Caucasian,Professional,830135,1,271443,09 September 2023,16 January 2025
TCS Auto,Hyderabad,Tamil Nadu India,21,Pune,Hyderabad,Karnataka,710254,Male,Divorced,02 January 2023,1,1394924,ZX,Premium Hatchback,Verna,Maruti,Asian,Business Owner,913842,1,393377,27 February 2023,21 November 2024
CarWorld,Bangalore,Karnataka India,24,Pune,Pune,Telangana,1012953,Female,Unmarried,22 March 2024,2,828643,ZX,Compact SUV,I10 GRAND,Maruti,Asian,Self Employed,643547,1,429356,10 June 2024,18 February 2026
AutoZone,Chennai,Delhi India,50,Mumbai,Kolkata,Karnataka,2323671,Female,Unmarried,31 March 2023,1,2287536,ZX,Entry Hatchback,Brezza,Honda,Asian,Salaried,1752078,1,966820,26 June 2023,13 September 2025
SpeedWheels,Pune,Delhi India,37,Nashik,Bangalore Urban,Delhi,428922,Male,Divorced,03 September 2024,1,2302118,ZX,Compact SUV,Creta,Maruti,Asian,Government Employee,1596525,0,326512,29 November 2024,18 April 2026
DriveEasy,Kolkata,Karnataka India,27,Hyderabad,Mumbai Suburban,Telangana,370160,Male,Married,22 January 2024,1,1807145,Sportz,Sedan,Nexon,Hyundai,African,Professional,1512711,1,422074,09 April 2024,26 November 2026
SCP,Kolkata,Delhi India,64,Delhi,Kolkata,Delhi,1425633,Male,Married,13 March 2023,2,1012313,Sportz,Luxury Sedan,City,Hyundai,Asian,Professional,783115,0,79895,23 May 2023,30 October 2025
SCP,Bangalore,Telangana India,47,Bangalore,Hyderabad,Maharashtra,1874247,Male,Unmarried,07 January 2023,1,1992025,Era,Premium Hatchback,Brezza,Hyundai,Asian,Retired,1603265,1,816447,23 February 2023,20 March 2025
DriveEasy,Hyderabad,Telangana India,61,Kolkata,Bangalore Urban,Tamil Nadu,2167202,Male,Unmarried,20 November 2023,3,1405153,Magna,Luxury Sedan,Creta,Maruti,Hispanic,Retired,958413,1,502292,10 January 2024,31 January 2026
TCS Auto,Kolkata,Delhi India,43,Bangalore,Pune,Tamil Nadu,526879,Male,Married,04 April 2024,3,1856878,Era,Luxury Sedan,Baleno,Tata,Asian,Salaried,1438376,0,276265,16 June 2024,27 December 2025
CarWorld,Hyderabad,Tamil Nadu India,50,Nagpur,Chennai,Delhi,1065441,Male,Unmarried,15 April 2023,2,567965,LX,SUV,Creta,Maruti,Asian,Government Employee,481912,0,100908,14 June 2023,18 June 2024
AutoHub,Pune,Telangana India,21,Nashik,Bangalore Urban,Karnataka,1515856,Female,Unmarried,14 February 2023,3,2319126,ZX,Entry Hatchback,Swift,Hyundai,African,Retired,1661347,0,267335,27 March 2023,30 May 2024
DriveEasy,Mumbai,Tamil Nadu India,46,Hyderabad,Chennai,Telangana,1647555,Male,Married,05 April 2023,2,589917,Magna,Entry Hatchback,Nexon,Hyundai,Asian,Retired,510496,0,73520,20 May 2023,26 February 2026
AutoHub,Pune,Maharashtra India,64,Bangalore,Bangalore Urban,Delhi,1632500,Male,Unmarried,14 November 2024,2,2461206,VX,Sedan,Baleno,Hyundai,African,Professional,1662942,1,822869,20 December 2024,18 August 2027
